时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:13.417Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0269,0.0283,1.0278,-2.20,-2.99,-0.37,1.74,1.53,-128.77,0.431732,0.016510,-0.007202,-0.901764
"2025-04-18T08:39:13.675Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3149,0.0303,0.9858,-0.24,3.60,0.31,1.43,-17.58,-63.31,0.842560,-0.068756,-0.134003,-0.516998
"2025-04-18T08:39:13.679Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1382,-0.2891,0.9829,0.31,1.53,0.00,-15.17,-7.99,97.83,0.656921,-0.034790,-0.144226,0.739166
"2025-04-18T08:39:13.964Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0684,0.0308,1.0723,9.03,4.03,0.24,3.08,-3.82,-10.63,0.994812,0.022430,-0.035797,-0.091949
"2025-04-18T08:39:13.965Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0073,0.0259,0.9536,-6.90,-3.85,-0.31,1.41,0.59,-128.86,0.431335,0.011993,-0.007843,-0.902039
"2025-04-18T08:39:13.965Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.5532,0.3882,0.7676,-27.71,-28.14,-15.14,-21.36,27.02,47.72,0.853699,-0.213928,0.168610,0.443756
"2025-04-18T08:39:14.221Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6460,-0.6357,0.0054,-26.98,-18.19,275.09,-84.17,67.80,109.86,-0.047913,0.658386,0.217499,-0.718903
"2025-04-18T08:39:14.294Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-0.3892,0.2051,0.7847,73.00,55.42,273.07,-8.54,3.98,21.29,0.972931,-0.061829,0.008392,0.222260
"2025-04-18T08:39:14.390Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.0615,1.1460,0.8662,135.25,-464.23,-61.22,57.18,1.80,-134.99,0.329071,0.195862,-0.436737,-0.813934
"2025-04-18T08:39:14.468Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",-0.1812,-0.1646,1.1611,-19.84,-21.06,115.66,1.99,-3.80,-13.91,0.996582,0.016266,-0.031952,-0.073883
"2025-04-18T08:39:14.469Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.4971,0.3184,0.8237,-0.12,-2.01,-0.06,8.57,12.39,0.35,0.987793,0.085938,0.129517,-0.005493
